Entity,Code,Year,CO2 emissions per capita
Equatorial Guinea,GNQ,2023,3.7418964
Eritrea,ERI,2023,0.21064918
Estonia,EST,2023,6.3957644
Eswatini,SWZ,2023,0.8367388
Ethiopia,ETH,2023,0.13653299
Faroe Islands,FRO,2023,13.037725
Fiji,FJI,2023,1.4955322
Finland,FIN,2023,5.6771917
France,FRA,2023,4.067842
French Polynesia,PYF,2023,3.139173
Gabon,GAB,2023,2.1414058
Gambia,GMB,2023,0.2863896
Georgia,GEO,2023,3.1312468
Germany,DEU,2023,7.022808
Ghana,GHA,2023,0.5959423
Greece,GRC,2023,5.0755324
Greenland,GRL,2023,10.883719
Grenada,GRD,2023,3.0998428
Guatemala,GTM,2023,1.088896
Guinea,GIN,2023,0.26899692
Guinea-Bissau,GNB,2023,0.15294452
Guyana,GUY,2023,5.2990813
Haiti,HTI,2023,0.24616757
Honduras,HND,2023,1.1652912
Hong Kong,HKG,2023,4.428082
Hungary,HUN,2023,4.164973
Iceland,ISL,2023,9.052132
India,IND,2023,2.1297693
Indonesia,IDN,2023,2.7111824
Iran,IRN,2023,8.715231
Iraq,IRQ,2023,5.056339
Ireland,IRL,2023,6.4595604
Israel,ISR,2023,5.9831605
Italy,ITA,2023,5.248631
Jamaica,JAM,2023,2.8413825
Japan,JPN,2023,7.9352145
Jordan,JOR,2023,2.0210526
Kazakhstan,KAZ,2023,14.076408
Kenya,KEN,2023,0.38283524
Kiribati,KIR,2023,0.52276295
Kuwait,KWT,2023,25.454494
Kyrgyzstan,KGZ,2023,1.5755129
Laos,LAO,2023,3.1516066
Latvia,LVA,2023,3.5007896
Lebanon,LBN,2023,2.694868
Lesotho,LSO,2023,1.0788054
Liberia,LBR,2023,0.15182881
Libya,LBY,2023,8.79032
Liechtenstein,LIE,2023,3.3118217
Lithuania,LTU,2023,4.3822517
Luxembourg,LUX,2023,10.2852545
Macao,MAC,2023,1.4607671
Madagascar,MDG,2023,0.14254327
Malawi,MWI,2023,0.087780796
Malaysia,MYS,2023,7.8658104
Maldives,MDV,2023,4.1925783
Mali,MLI,2023,0.28368795
Malta,MLT,2023,3.317301
Marshall Islands,MHL,2023,3.802466
Mauritania,MRT,2023,1.0028783
Mauritius,MUS,2023,3.602115
Mexico,MEX,2023,3.5321004
Micronesia (country),FSM,2023,1.2786695
Moldova,MDA,2023,1.7375865
Mongolia,MNG,2023,12.874261
Montenegro,MNE,2023,3.7989702
Montserrat,MSR,2023,5.764865
Morocco,MAR,2023,1.8286018
Mozambique,MOZ,2023,0.27035564
Myanmar,MMR,2023,0.5873035
Namibia,NAM,2023,1.1618446
Nauru,NRU,2023,4.933193
Nepal,NPL,2023,0.61788374
Netherlands,NLD,2023,6.4676642
New Caledonia,NCL,2023,17.483173
New Zealand,NZL,2023,6.1010647
Nicaragua,NIC,2023,0.79551613
Niger,NER,2023,0.11977888
Nigeria,NGA,2023,0.5677305
Niue,NIU,2023,3.961434
North Korea,PRK,2023,2.3478134
North Macedonia,MKD,2023,4.006106
Norway,NOR,2023,7.042548
Oman,OMN,2023,15.806381
Pakistan,PAK,2023,0.7549797
Palau,PLW,2023,12.180102
Palestine,PSE,2023,0.8791239
Panama,PAN,2023,2.9160857
Papua New Guinea,PNG,2023,0.8044313
Paraguay,PRY,2023,1.1171128
Peru,PER,2023,1.9519441
Philippines,PHL,2023,1.4011557
Poland,POL,2023,7.307086
Portugal,PRT,2023,3.6068447
Qatar,QAT,2023,40.127865
Romania,ROU,2023,3.54976
Russia,RUS,2023,11.9164505
Rwanda,RWA,2023,0.14447089
Saint Helena,SHN,2023,2.0635817
Saint Kitts and Nevis,KNA,2023,5.346964
Saint Lucia,LCA,2023,2.8838367
Saint Pierre and Miquelon,SPM,2023,9.335027
Saint Vincent and the Grenadines,VCT,2023,2.4296513
Samoa,WSM,2023,1.0838683
Sao Tome and Principe,STP,2023,0.6056687
Saudi Arabia,SAU,2023,20.36544
Senegal,SEN,2023,0.77896833
Serbia,SRB,2023,6.334863
Seychelles,SYC,2023,5.0117536
Sierra Leone,SLE,2023,0.1631619
Singapore,SGP,2023,8.821352
Sint Maarten (Dutch part),SXM,2023,16.156517
Slovakia,SVK,2023,5.5755577
Slovenia,SVN,2023,5.6704106
Solomon Islands,SLB,2023,0.35219383
Somalia,SOM,2023,0.07061636
South Africa,ZAF,2023,6.9069405
South Korea,KOR,2023,11.385368
South Sudan,SSD,2023,0.1451047
Spain,ESP,2023,4.4970493
Sri Lanka,LKA,2023,0.8343349
Sudan,SDN,2023,0.35400742
Suriname,SUR,2023,4.561335
Sweden,SWE,2023,3.4789953
Switzerland,CHE,2023,3.604899
Syria,SYR,2023,1.3424094
Taiwan,TWN,2023,11.45624
Tajikistan,TJK,2023,0.98791873
Tanzania,TZA,2023,0.30486846
Thailand,THA,2023,3.6921155
Togo,TGO,2023,0.3247885
Tonga,TON,2023,1.3943583
Trinidad and Tobago,TTO,2023,23.644289
Tunisia,TUN,2023,2.6013684
Turkey,TUR,2023,5.5797157
Turkmenistan,TKM,2023,12.956967
Turks and Caicos Islands,TCA,2023,7.8931007
Tuvalu,TUV,2023,1.1121277
Uganda,UGA,2023,0.12816063
Ukraine,UKR,2023,3.6924176
United Arab Emirates,ARE,2023,19.772913
United Kingdom,GBR,2023,4.481841
United States,USA,2023,14.31945
Uruguay,URY,2023,2.2511077
Uzbekistan,UZB,2023,3.446397
Vanuatu,VUT,2023,0.5881556
Venezuela,VEN,2023,4.2255874
Vietnam,VNM,2023,3.4617958
Wallis and Futuna,WLF,2023,2.5604703
Yemen,YEM,2023,0.2574502
Zambia,ZMB,2023,0.5708717
Zimbabwe,ZWE,2023,0.8226813
