Entity,Code,Year,Life expectancy
France,FRA,1927,55.74
France,FRA,1928,55.41
France,FRA,1929,54.24
France,FRA,1930,56.8
France,FRA,1931,56.9
France,FRA,1932,57.22
France,FRA,1933,57.65
France,FRA,1934,58.3
France,FRA,1935,58.28
France,FRA,1936,58.76
France,FRA,1937,59.11
France,FRA,1938,58.93
France,FRA,1939,59.55
France,FRA,1940,49.6
France,FRA,1941,57.42
France,FRA,1942,57.44
France,FRA,1943,53.3
France,FRA,1944,47.17
France,FRA,1945,54.93
France,FRA,1946,62.36
France,FRA,1947,63.95
France,FRA,1948,65.78
France,FRA,1949,64.9
France,FRA,1950,66.3819
France,FRA,1951,66.0968
France,FRA,1952,67.3912
France,FRA,1953,67.3191
France,FRA,1954,68.1882
France,FRA,1955,68.4442
France,FRA,1956,68.4647
France,FRA,1957,68.8972
France,FRA,1958,70.1071
France,FRA,1959,70.1683
France,FRA,1960,70.3675
France,FRA,1961,70.9582
France,FRA,1962,70.4704
France,FRA,1963,70.3204
France,FRA,1964,71.2802
France,FRA,1965,71.1067
France,FRA,1966,71.5138
France,FRA,1967,71.4983
France,FRA,1968,71.4857
France,FRA,1969,71.2063
France,FRA,1970,72.0915
France,FRA,1971,72.0735
France,FRA,1972,72.3134
France,FRA,1973,72.4756
France,FRA,1974,72.8037
France,FRA,1975,72.9001
France,FRA,1976,73.122
France,FRA,1977,73.7282
France,FRA,1978,73.8445
France,FRA,1979,74.125
France,FRA,1980,74.2335
France,FRA,1981,74.3965
France,FRA,1982,74.7657
France,FRA,1983,74.7344
France,FRA,1984,75.2175
France,FRA,1985,75.309
France,FRA,1986,75.5776
France,FRA,1987,76.1465
France,FRA,1988,76.398
France,FRA,1989,76.5432
France,FRA,1990,76.8351
France,FRA,1991,77.0162
France,FRA,1992,77.2973
France,FRA,1993,77.3488
France,FRA,1994,77.7681
France,FRA,1995,77.8715
France,FRA,1996,78.0613
France,FRA,1997,78.4246
France,FRA,1998,78.5879
France,FRA,1999,78.7457
France,FRA,2000,79.0438
France,FRA,2001,79.2208
France,FRA,2002,79.4109
France,FRA,2003,79.419
France,FRA,2004,80.3363
France,FRA,2005,80.3367
France,FRA,2006,80.7449
France,FRA,2007,80.9602
France,FRA,2008,81.0392
France,FRA,2009,81.1635
France,FRA,2010,81.4047
France,FRA,2011,81.781
France,FRA,2012,81.739
France,FRA,2013,81.9786
France,FRA,2014,82.4366
France,FRA,2015,82.1487
France,FRA,2016,82.4008
France,FRA,2017,82.4385
France,FRA,2018,82.5682
France,FRA,2019,82.7304
France,FRA,2020,82.1993
France,FRA,2021,82.3216
France,FRA,2022,82.4753
France,FRA,2023,83.3253
Switzerland,CHE,1876,40.19
Switzerland,CHE,1877,39.99
Switzerland,CHE,1878,40.57
Switzerland,CHE,1879,41.83
Switzerland,CHE,1880,42.47
Switzerland,CHE,1881,41.94
Switzerland,CHE,1882,43.02
Switzerland,CHE,1883,45.02
Switzerland,CHE,1884,45.07
Switzerland,CHE,1885,43.92
Switzerland,CHE,1886,44.75
Switzerland,CHE,1887,45.46
Switzerland,CHE,1888,46
Switzerland,CHE,1889,45.18
Switzerland,CHE,1890,45.01
Switzerland,CHE,1891,44.81
Switzerland,CHE,1892,47.2
Switzerland,CHE,1893,46.08
Switzerland,CHE,1894,45.85
Switzerland,CHE,1895,46.93
Switzerland,CHE,1896,48.87
Switzerland,CHE,1897,49.1
Switzerland,CHE,1898,48.26
Switzerland,CHE,1899,49.31
Switzerland,CHE,1900,47.59
Switzerland,CHE,1901,48.97
Switzerland,CHE,1902,50.44
Switzerland,CHE,1903,50.08
Switzerland,CHE,1904,49.23
Switzerland,CHE,1905,49.69
Switzerland,CHE,1906,50.75
Switzerland,CHE,1907,51.19
Switzerland,CHE,1908,52.29
Switzerland,CHE,1909,51.65
Switzerland,CHE,1910,52.93
Switzerland,CHE,1911,51.77
Switzerland,CHE,1912,54.4
Switzerland,CHE,1913,54.23
Switzerland,CHE,1914,55.11
Switzerland,CHE,1915,55.91
Switzerland,CHE,1916,56.52
Switzerland,CHE,1917,55.77
Switzerland,CHE,1918,46.3
Switzerland,CHE,1919,54.83
Switzerland,CHE,1920,54.5
Switzerland,CHE,1921,57.77
Switzerland,CHE,1922,58.48
Switzerland,CHE,1923,59.98
Switzerland,CHE,1924,59.47
Switzerland,CHE,1925,59.91
Switzerland,CHE,1926,60.59
Switzerland,CHE,1927,60.09
Switzerland,CHE,1928,60.43
Switzerland,CHE,1929,60.14
Switzerland,CHE,1930,61.4
Switzerland,CHE,1931,61.23
Switzerland,CHE,1932,61.2
Switzerland,CHE,1933,62.37
Switzerland,CHE,1934,62.83
Switzerland,CHE,1935,62.13
Switzerland,CHE,1936,63.14
Switzerland,CHE,1937,63.48
Switzerland,CHE,1938,63.83
Switzerland,CHE,1939,63.98
Switzerland,CHE,1940,63.54
Switzerland,CHE,1941,64.91
Switzerland,CHE,1942,65.63
Switzerland,CHE,1943,65.82
Switzerland,CHE,1944,64.86
Switzerland,CHE,1945,65.38
Switzerland,CHE,1946,66.06
Switzerland,CHE,1947,66.23
Switzerland,CHE,1948,67.31
Switzerland,CHE,1949,67.95
Switzerland,CHE,1950,68.9133
Switzerland,CHE,1951,68.6939
Switzerland,CHE,1952,69.5876
Switzerland,CHE,1953,69.5183
Switzerland,CHE,1954,69.9846
Switzerland,CHE,1955,70.0701
Switzerland,CHE,1956,70.1987
Switzerland,CHE,1957,70.5385
Switzerland,CHE,1958,71.2912
Switzerland,CHE,1959,71.4531
Switzerland,CHE,1960,71.4137
Switzerland,CHE,1961,71.7428
Switzerland,CHE,1962,71.3027
Switzerland,CHE,1963,71.2924
Switzerland,CHE,1964,72.1791
Switzerland,CHE,1965,72.318
Switzerland,CHE,1966,72.4497
Switzerland,CHE,1967,72.7412
Switzerland,CHE,1968,72.7054
Switzerland,CHE,1969,72.7176
Switzerland,CHE,1970,73.1238
Switzerland,CHE,1971,73.2406
Switzerland,CHE,1972,73.7591
Switzerland,CHE,1973,74.0598
Switzerland,CHE,1974,74.4013
Switzerland,CHE,1975,74.7913
Switzerland,CHE,1976,74.9059
Switzerland,CHE,1977,75.3673
Switzerland,CHE,1978,75.3079
Switzerland,CHE,1979,75.6078
Switzerland,CHE,1980,75.5898
Switzerland,CHE,1981,75.8183
Switzerland,CHE,1982,76.1624
Switzerland,CHE,1983,76.1574
Switzerland,CHE,1984,76.756
Switzerland,CHE,1985,76.882
Switzerland,CHE,1986,77.0403
Switzerland,CHE,1987,77.3317
Switzerland,CHE,1988,77.3646
Switzerland,CHE,1989,77.5573
Switzerland,CHE,1990,77.3851
Switzerland,CHE,1991,77.6485
Switzerland,CHE,1992,77.9441
Switzerland,CHE,1993,78.2335
Switzerland,CHE,1994,78.4946
Switzerland,CHE,1995,78.565
Switzerland,CHE,1996,79.0494
Switzerland,CHE,1997,79.2329
Switzerland,CHE,1998,79.4752
Switzerland,CHE,1999,79.7235
Switzerland,CHE,2000,79.834
Switzerland,CHE,2001,80.2511
Switzerland,CHE,2002,80.4438
Switzerland,CHE,2003,80.5325
Switzerland,CHE,2004,81.0549
Switzerland,CHE,2005,81.2362
Switzerland,CHE,2006,81.5495
Switzerland,CHE,2007,81.7028
Switzerland,CHE,2008,81.9709
Switzerland,CHE,2009,81.9891
Switzerland,CHE,2010,82.2873
Switzerland,CHE,2011,82.5738
Switzerland,CHE,2012,82.6167
Switzerland,CHE,2013,82.6892
Switzerland,CHE,2014,83.0841
Switzerland,CHE,2015,82.8461
Switzerland,CHE,2016,83.4457
Switzerland,CHE,2017,83.414
Switzerland,CHE,2018,83.5639
Switzerland,CHE,2019,83.7804
Switzerland,CHE,2020,83.0626
Switzerland,CHE,2021,83.6477
Switzerland,CHE,2022,83.2003
Switzerland,CHE,2023,83.9536
